headword,meaning_ja,zhuyin,pinyin,pos,tocfl_level,taiwan_usage,source,entry_type,scene_tags,notes
原子彈,原子爆弾,ㄩㄢˊ ㄗˇ ㄉㄢˋ,yuánzǐdàn,名詞,7,common,ai,word,,
援助,援助する/支援する,ㄩㄢˊ ㄓㄨˋ,yuánzhù,動詞,7,common,ai,word,,
遠景,遠景/将来の展望,ㄩㄢˇ ㄐㄧㄥˇ,yuǎnjǐng,名詞,7,common,ai,word,,
怨,恨む/怨念,ㄩㄢˋ,yuàn,状態動詞,7,common,ai,word,,
約束,制限する/拘束する,ㄩㄝ ㄕㄨˋ,yuēshù,動詞,7,common,ai,word,,
躍,跳ぶ,ㄩㄝˋ,yuè,自動詞,7,common,ai,word,,
樂隊,楽団/バンド,ㄩㄝˋ ㄉㄨㄟˋ,yuèduì,名詞,7,common,ai,word,,
運,運ぶ/動かす/使う,ㄩㄣˋ,yùn,動詞,7,common,ai,word,,
運行,運行する/機能する,ㄩㄣˋ ㄒㄧㄥˊ,yùnxíng,自動詞,7,common,ai,word,,
孕婦,妊婦,ㄩㄣˋ ㄈㄨˋ,yùnfù,名詞,7,common,ai,word,,
醞釀,醸造する/醸し出す,ㄩㄣˋ ㄋㄧㄤˋ,yùnniàng,動詞,7,common,ai,word,,
栽,植える/立てる,ㄗㄞ,zāi,動詞,7,common,ai,word,,
災禍,災難,ㄗㄞ ㄏㄨㄛˋ,zāihuò,名詞,7,common,ai,word,,
災情,被災状況,ㄗㄞ ㄑㄧㄥˊ,zāiqíng,名詞,7,common,ai,word,,
在場,現場にいる,ㄗㄞˋ ㄔㄤˇ,zàichǎng,自動詞,7,common,ai,word,,
在世,存命である,ㄗㄞˋ ㄕˋ,zàishì,状態動詞(形容詞),7,common,ai,word,,
在座,同席している,ㄗㄞˋ ㄗㄨㄛˋ,zàizuò,自動詞,7,common,ai,word,,
再生,再生する/生まれ変わる,ㄗㄞˋ ㄕㄥ,zàishēng,状態動詞(連体用),7,common,ai,word,,
咱,私/私たち,ㄗㄢˊ,zán,名詞,7,common,ai,word,,
贊助,支援する/スポンサーになる,ㄗㄢˋ ㄓㄨˋ,zànzhù,動詞,7,common,ai,word,,
讚嘆,感嘆する,ㄗㄢˋ ㄊㄢˋ,zàntàn,自動詞,7,common,ai,word,,原表記: 讚嘆/讚歎
贓物,盗品,ㄗㄤ ㄨˋ,zāngwù,名詞,7,common,ai,word,,
遭,遭遇する/回,ㄗㄠ,zāo,量詞/介詞(前置詞)/状態動詞,7,common,ai,word,,
造反,反乱を起こす,ㄗㄠˋ ㄈㄢˇ,zàofǎn,自動詞,7,common,ai,word,,
造化,自然/創造主/幸運,ㄗㄠˋ ㄏㄨㄚˋ,zàohuà,名詞,7,common,ai,word,,
造物主,創造主/神,ㄗㄠˋ ㄨˋ ㄓㄨˇ,zàowùzhǔ,名詞,7,common,ai,word,,
造型,造形/外見/スタイル,ㄗㄠˋ ㄒㄧㄥˊ,zàoxíng,名詞,7,common,ai,word,,
責備,責める/非難する,ㄗㄜˊ ㄅㄟˋ,zébèi,動詞,7,common,ai,word,,
增進,促進する/高める,ㄗㄥ ㄐㄧㄣˋ,zēngjìn,動詞,7,common,ai,word,,
增強,増やす/強化する,ㄗㄥ ㄑㄧㄤˊ,zēngqiáng,変化動詞,7,common,ai,word,,
增值,価値が上がる/付加価値,ㄗㄥ ㄓˊ,zēngzhí,変化動詞,7,common,ai,word,,
扎,刺す/ジョッキ,ㄓㄚ,zhā,動詞,7,common,ai,word,,
炸藥,爆薬,ㄓㄚˋ ㄧㄠˋ,zhàyào,名詞,7,common,ai,word,,
沾,濡らす/感染する/恩恵を受ける,ㄓㄢ,zhān,動詞,7,common,ai,word,,
盞,小さな杯/ランプの数え方,ㄓㄢˇ,zhǎn,量詞,7,common,ai,word,,
展望,見通し/展望する,ㄓㄢˇ ㄨㄤˋ,zhǎnwàng,状態動詞,7,common,ai,word,,
展現,現れる/披露する,ㄓㄢˇ ㄒㄧㄢˋ,zhǎnxiàn,動詞,7,common,ai,word,,
嶄新,真新しい,ㄓㄢˇ ㄒㄧㄣ,zhǎnxīn,状態動詞(連体用),7,common,ai,word,,
占據,占拠する/占める,ㄓㄢˋ ㄐㄩˋ,zhànjù,動詞,7,common,ai,word,,原表記: 占據/佔據
占領,占領する,ㄓㄢˋ ㄌㄧㄥˇ,zhànlǐng,動詞,7,common,ai,word,,原表記: 占領/佔領
顫抖,震える,ㄓㄢˋ ㄉㄡˇ,zhàndǒu,自動詞,7,common,ai,word,,
戰火,戦火,ㄓㄢˋ ㄏㄨㄛˇ,zhànhuǒ,名詞,7,common,ai,word,,
戰機,戦機/戦闘機/軍事機密,ㄓㄢˋ ㄐㄧ,zhànjī,名詞,7,common,ai,word,,
戰亂,戦乱,ㄓㄢˋ ㄌㄨㄢˋ,zhànluàn,名詞,7,common,ai,word,,
戰略,戦略,ㄓㄢˋ ㄌㄩㄝˋ,zhànlüè,名詞,7,common,ai,word,,
戰勝,打ち勝つ/克服する,ㄓㄢˋ ㄕㄥˋ,zhànshèng,動詞,7,common,ai,word,,
戰士,戦士/兵士,ㄓㄢˋ ㄕˋ,zhànshì,名詞,7,common,ai,word,,
戰術,戦術,ㄓㄢˋ ㄕㄨˋ,zhànshù,名詞,7,common,ai,word,,
戰線,戦線/前線,ㄓㄢˋ ㄒㄧㄢˋ,zhànxiàn,名詞,7,common,ai,word,,
戰友,戦友,ㄓㄢˋ ㄧㄡˇ,zhànyǒu,名詞,7,common,ai,word,,
戰戰兢兢,恐れおののく,ㄓㄢˋ ㄓㄢˋ ㄐㄧㄥ ㄐㄧㄥ,zhànzhànjīngjīng,状態動詞(形容詞),7,common,ai,word,,
張貼,掲示する/貼り出す,ㄓㄤ ㄊㄧㄝ,zhāngtiē,動詞,7,common,ai,word,,
長子,長男,ㄓㄤˇ ㄗˇ,zhǎngzǐ,名詞,7,common,ai,word,,
帳篷,テント,ㄓㄤˋ ㄆㄥˊ,zhàngpéng,名詞,7,common,ai,word,,
丈,約3.3メートル/測る/夫,ㄓㄤˋ,zhàng,量詞,7,common,ai,word,,
朝氣,活力/若々しさ,ㄓㄠ ㄑㄧˋ,zhāoqì,名詞,7,common,ai,word,,
著想,配慮する/思いやる,ㄓㄠˊ ㄒㄧㄤˇ,zháoxiǎng,状態動詞(形容詞),7,common,ai,word,,
找尋,探し求める/粗探しする,ㄓㄠˇ ㄒㄩㄣˊ,zhǎoxún,動詞,7,common,ai,word,,
沼澤,沼地/湿地,ㄓㄠˇ ㄗㄜˊ,zhǎozé,名詞,7,common,ai,word,,
召集,招集する/集める,ㄓㄠˋ ㄐㄧˊ,zhàojí,動詞,7,common,ai,word,,
照例,例年通り/いつものように,ㄓㄠˋ ㄌㄧˋ,zhàolì,副詞,7,common,ai,word,,
照耀,照らす/輝く,ㄓㄠˋ ㄧㄠˋ,zhàoyào,動詞,7,common,ai,word,,
遮,覆う/隠す/遮る,ㄓㄜ,zhē,動詞,7,common,ai,word,,
遮蔽,遮る/隠す,ㄓㄜ ㄅㄧˋ,zhēbì,動詞,7,common,ai,word,,
折騰,苦しめる/何度も繰り返す,ㄓㄜ ㄊㄥˊ,zhēténg,動詞,7,common,ai,word,,
針灸,鍼灸,ㄓㄣ ㄐㄧㄡˇ,zhēnjiǔ,自動詞,7,common,ai,word,,
真情,真実/本心,ㄓㄣ ㄑㄧㄥˊ,zhēnqíng,名詞,7,common,ai,word,,
診斷,診断する,ㄓㄣˇ ㄉㄨㄢˋ,zhěnduàn,動詞,7,common,ai,word,,
診所,診療所,ㄓㄣˇ ㄙㄨㄛˇ,zhěnsuǒ,名詞,7,common,ai,word,,
鎮定,落ち着いた/冷静な,ㄓㄣˋ ㄉㄧㄥˋ,zhèndìng,状態動詞(形容詞),7,common,ai,word,,
鎮壓,鎮圧する/抑圧する,ㄓㄣˋ ㄧㄚ,zhènyā,動詞,7,common,ai,word,,
振動,振動する/揺れる,ㄓㄣˋ ㄉㄨㄥˋ,zhèndòng,自動詞,7,common,ai,word,,
震驚,驚愕する/衝撃を受ける,ㄓㄣˋ ㄐㄧㄥ,zhènjīng,状態動詞(形容詞),7,common,ai,word,,
陣營,陣営/派閥,ㄓㄣˋ ㄧㄥˊ,zhènyíng,名詞,7,common,ai,word,,
蒸,蒸す,ㄓㄥ,zhēng,動詞,7,common,ai,word,,
蒸發,蒸発する,ㄓㄥ ㄈㄚ,zhēngfā,自動詞,7,common,ai,word,,
蒸氣,蒸気,ㄓㄥ ㄑㄧˋ,zhēngqì,名詞,7,common,ai,word,,
爭辯,論争する,ㄓㄥ ㄅㄧㄢˋ,zhēngbiàn,自動詞,7,common,ai,word,,
爭奪,奪い合う,ㄓㄥ ㄉㄨㄛˊ,zhēngduó,動詞,7,common,ai,word,,
爭氣,奮起する/見返す,ㄓㄥ ㄑㄧˋ,zhēngqì,状態動詞(形容詞),7,common,ai,word,,
爭議,論争/議論,ㄓㄥ ㄧˋ,zhēngyì,名詞,7,common,ai,word,,
徵收,徴収する,ㄓㄥ ㄕㄡ,zhēngshōu,動詞,7,common,ai,word,,
掙扎,もがく/苦闘する,ㄓㄥ ㄓㄚˊ,zhēngzhá,自動詞,7,common,ai,word,,
整頓,整理する/立て直す,ㄓㄥˇ ㄉㄨㄣˋ,zhěngdùn,動詞,7,common,ai,word,,
整整,まるまる/丸々,ㄓㄥˇ ㄓㄥˇ,zhěngzhěng,副詞,7,common,ai,word,,
正當,正当な/誠実な,ㄓㄥˋ ㄉㄤ,zhèngdāng,状態動詞(形容詞),7,common,ai,word,,
政績,政治的実績,ㄓㄥˋ ㄐㄧ,zhèngjī,名詞,7,common,ai,word,,
政見,政治的見解,ㄓㄥˋ ㄐㄧㄢˋ,zhèngjiàn,名詞,7,common,ai,word,,
政權,政権,ㄓㄥˋ ㄑㄩㄢˊ,zhèngquán,名詞,7,common,ai,word,,
證券,証券,ㄓㄥˋ ㄑㄩㄢˋ,zhèngquàn,名詞,7,common,ai,word,,
證人,証人,ㄓㄥˋ ㄖㄣˊ,zhèngrén,名詞,7,common,ai,word,,
掙,稼ぐ/もがく,ㄓㄥˋ,zhèng,動詞,7,common,ai,word,,
之內,以内,ㄓ ㄋㄟˋ,zhīnèi,名詞,7,common,ai,word,,
之所以,～という理由,ㄓ ㄙㄨㄛˇ ㄧˇ,zhīsuǒyǐ,接続詞,7,common,ai,word,,
支撐,支える/突っ張る,ㄓ ㄔㄥ,zhīchēng,動詞,7,common,ai,word,,
支付,支払う,ㄓ ㄈㄨˋ,zhīfù,動詞,7,common,ai,word,,
支配,支配する/割り当てる,ㄓ ㄆㄟˋ,zhīpèi,動詞,7,common,ai,word,,
支應,対応する/賄う,ㄓ ㄧㄥˋ,zhīyìng,動詞,7,common,ai,word,,
知足,足るを知る,ㄓ ㄗㄨˊ,zhīzú,状態動詞(形容詞),7,common,ai,word,,
織,織る,ㄓ,zhī,動詞,7,common,ai,word,,
直徑,直径,ㄓˊ ㄐㄧㄥˋ,zhíjìng,名詞,7,common,ai,word,,
值班,当直する,ㄓˊ ㄅㄢ,zhíbān,離合動詞,7,common,ai,word,,
值錢,価値がある,ㄓˊ ㄑㄧㄢˊ,zhíqián,状態動詞(形容詞),7,common,ai,word,,
殖民,植民する,ㄓˊ ㄇㄧㄣˊ,zhímín,自動詞,7,common,ai,word,,
質量,質量/品質,ㄓˊ ㄌㄧㄤˋ,zhíliàng,名詞,7,common,ai,word,,
質疑,疑う/問い質す,ㄓˊ ㄧˊ,zhíyí,動詞,7,common,ai,word,,
職務,職務/役職,ㄓˊ ㄨˋ,zhíwù,名詞,7,common,ai,word,,
職責,職責/義務,ㄓˊ ㄗㄜˊ,zhízé,名詞,7,common,ai,word,,
執照,免許証/許可証,ㄓˊ ㄓㄠˋ,zhízhào,名詞,7,common,ai,word,,
執政,政権を握る,ㄓˊ ㄓㄥˋ,zhízhèng,自動詞,7,common,ai,word,,
執著,執着する/ひたむきな,ㄓˊ ㄓㄨㄛˊ,zhízhuó,状態動詞(形容詞),7,common,ai,word,,
只得,～せざるを得ない,ㄓˇ ㄉㄜˊ,zhǐdé,副詞,7,common,ai,word,,
指標,指標/目標,ㄓˇ ㄅㄧㄠ,zhǐbiāo,名詞,7,common,ai,word,,
指點,指し示す/助言する,ㄓˇ ㄉㄧㄢˇ,zhǐdiǎn,動詞,7,common,ai,word,,
指揮,指揮する/指揮者,ㄓˇ ㄏㄨㄟ,zhǐhuī,名詞/動詞,7,common,ai,word,,
指控,告発する,ㄓˇ ㄎㄨㄥˋ,zhǐkòng,動詞,7,common,ai,word,,
指南針,方位磁石,ㄓˇ ㄋㄢˊ ㄓㄣ,zhǐnánzhēn,名詞,7,common,ai,word,,
指數,指数/指数関数,ㄓˇ ㄕㄨˋ,zhǐshù,名詞,7,common,ai,word,,
指望,期待する/望み,ㄓˇ ㄨㄤˋ,zhǐwàng,状態動詞,7,common,ai,word,,
指引,導く/指針,ㄓˇ ㄧㄣˇ,zhǐyǐn,動詞,7,common,ai,word,,
指正,誤りを指摘する/批評する,ㄓˇ ㄓㄥˋ,zhǐzhèng,動詞,7,common,ai,word,,
至今,今まで/今日まで,ㄓˋ ㄐㄧㄣ,zhìjīn,副詞,7,common,ai,word,,
治本,根本的な解決を図る,ㄓˋ ㄅㄣˇ,zhìběn,自動詞,7,common,ai,word,,
治標,対症療法を行う,ㄓˋ ㄅㄧㄠ,zhìbiāo,自動詞,7,common,ai,word,,
治理,統治する/管理する,ㄓˋ ㄌㄧˇ,zhìlǐ,動詞,7,common,ai,word,,
治療,治療する,ㄓˋ ㄌㄧㄠˊ,zhìliáo,動詞,7,common,ai,word,,
志趣,興味/志向,ㄓˋ ㄑㄩˋ,zhìqù,名詞,7,common,ai,word,,
志向,志/目標,ㄓˋ ㄒㄧㄤˋ,zhìxiàng,名詞,7,common,ai,word,,
致詞,挨拶する/演説する,ㄓˋ ㄘˊ,zhìcí,自動詞,7,common,ai,word,,
致富,金持ちになる,ㄓˋ ㄈㄨˋ,zhìfù,状態動詞(形容詞),7,common,ai,word,,
致力,尽力する,ㄓˋ ㄌㄧˋ,zhìlì,状態動詞,7,common,ai,word,,
致命,致命的な,ㄓˋ ㄇㄧㄥˋ,zhìmìng,状態動詞(形容詞),7,common,ai,word,,
致意,挨拶を送る/意を表す,ㄓˋ ㄧˋ,zhìyì,自動詞,7,common,ai,word,,
智力,知能/知力,ㄓˋ ㄌㄧˋ,zhìlì,名詞,7,common,ai,word,,
制裁,制裁する/処罰する,ㄓˋ ㄘㄞˊ,zhìcái,動詞,7,common,ai,word,,
滯留,滞留する/足止めされる,ㄓˋ ㄌㄧㄡˊ,zhìliú,自動詞,7,common,ai,word,,
中斷,中断する,ㄓㄨㄥ ㄉㄨㄢˋ,zhōngduàn,動詞,7,common,ai,word,,
中和,中和する,ㄓㄨㄥ ㄏㄜˊ,zhōnghé,動詞,7,common,ai,word,,
中立,中立の,ㄓㄨㄥ ㄌㄧˋ,zhōnglì,状態動詞(形容詞),7,common,ai,word,,
中葉,中期/中葉,ㄓㄨㄥ ㄧㄝˋ,zhōngyè,名詞,7,common,ai,word,,
中醫,漢方医/中国医学,ㄓㄨㄥ ㄧ,zhōngyī,名詞,7,common,ai,word,,
忠實,忠実な,ㄓㄨㄥ ㄕˊ,zhōngshí,状態動詞(形容詞),7,common,ai,word,,
衷心,心からの/誠実な,ㄓㄨㄥ ㄒㄧㄣ,zhōngxīn,副詞,7,common,ai,word,,
終場,終演/試合終了,ㄓㄨㄥ ㄔㄤˇ,zhōngchǎng,名詞,7,common,ai,word,,
終結,終結させる/終わる,ㄓㄨㄥ ㄐㄧㄝˊ,zhōngjié,動詞,7,common,ai,word,,
終究,結局/最終的に,ㄓㄨㄥ ㄐㄧㄡˋ,zhōngjiù,副詞,7,common,ai,word,,
終身,一生の/終身の,ㄓㄨㄥ ㄕㄣ,zhōngshēn,名詞,7,common,ai,word,,
種種,様々な,ㄓㄨㄥˇ ㄓㄨㄥˇ,zhǒngzhǒng,限定詞,7,common,ai,word,,
種植,栽培する/植える,ㄓㄨㄥˋ ㄓˊ,zhòngzhí,動詞,7,common,ai,word,,
中風,脳卒中を起こす,ㄓㄨㄥˋ ㄈㄥ,zhòngfēng,変化動詞,7,common,ai,word,,
中獎,当選する/当たりを引く,ㄓㄨㄥˋ ㄐㄧㄤˇ,zhòngjiǎng,変化動詞,7,common,ai,word,,
中肯,的を射た/妥当な,ㄓㄨㄥˋ ㄎㄣˇ,zhòngkěn,状態動詞(形容詞),7,common,ai,word,,
中暑,熱中症になる,ㄓㄨㄥˋ ㄕㄨˇ,zhòngshǔ,変化動詞,7,common,ai,word,,
重用,重用する,ㄓㄨㄥˋ ㄩㄥˋ,zhòngyòng,動詞,7,common,ai,word,,
重鎮,要衝/主要拠点,ㄓㄨㄥˋ ㄓㄣˋ,zhòngzhèn,名詞,7,common,ai,word,,
周邊,周辺/周辺機器,ㄓㄡ ㄅㄧㄢ,zhōubiān,名詞,7,common,ai,word,,
周密,綿密な/周到な,ㄓㄡ ㄇㄧˋ,zhōumì,状態動詞(形容詞),7,common,ai,word,,
周詳,詳細な/行き届いた,ㄓㄡ ㄒㄧㄤˊ,zhōuxiáng,状態動詞(形容詞),7,common,ai,word,,
周遊,周遊する/旅行する,ㄓㄡ ㄧㄡˊ,zhōuyóu,動詞,7,common,ai,word,,
周轉,回転させる/やり繰りする,ㄓㄡ ㄓㄨㄢˇ,zhōuzhuǎn,動詞,7,common,ai,word,,
皺,しわが寄る/しわのある,ㄓㄡˋ,zhòu,状態動詞(形容詞),7,common,ai,word,,
皺紋,しわ,ㄓㄡˋ ㄨㄣˊ,zhòuwén,名詞,7,common,ai,word,,
株,株（植物の数え方）,ㄓㄨ,zhū,量詞,7,common,ai,word,,
諸多,多くの,ㄓㄨ ㄉㄨㄛ,zhūduō,限定詞,7,common,ai,word,,
逐,追う/追い出す/一つずつ,ㄓㄨˊ,zhú,介詞(前置詞)/動詞,7,common,ai,word,,
逐步,段階的に/一歩ずつ,ㄓㄨˊ ㄅㄨˋ,zhúbù,副詞,7,common,ai,word,,
主導,主導する/先導する,ㄓㄨˇ ㄉㄠˇ,zhǔdǎo,動詞,7,common,ai,word,,
主見,自分の意見/持論,ㄓㄨˇ ㄐㄧㄢˋ,zhǔjiàn,名詞,7,common,ai,word,,
主力,主力/主要戦力,ㄓㄨˇ ㄌㄧˋ,zhǔlì,名詞,7,common,ai,word,,
主流,主流/本流,ㄓㄨˇ ㄌㄧㄡˊ,zhǔliú,名詞,7,common,ai,word,,
主權,主権,ㄓㄨˇ ㄑㄩㄢˊ,zhǔquán,名詞,7,common,ai,word,,
主人翁,主人公/主役,ㄓㄨˇ ㄖㄣˊ ㄨㄥ,zhǔrénwēng,名詞,7,common,ai,word,,
主義,主義/思想,ㄓㄨˇ ㄧˋ,zhǔyì,名詞,7,common,ai,word,,
主宰,支配する/統治する,ㄓㄨˇ ㄗㄞˇ,zhǔzǎi,動詞,7,common,ai,word,,
主旨,要旨/趣旨,ㄓㄨˇ ㄓˇ,zhǔzhǐ,名詞,7,common,ai,word,,
主軸,中心軸/主軸,ㄓㄨˇ ㄓㄡˊ,zhǔzhóu,名詞,7,common,ai,word,,
囑咐,言い聞かせる/忠告する,ㄓㄨˇ ㄈㄨˋ,zhǔfù,動詞,7,common,ai,word,,
矚目,注目される,ㄓㄨˇ ㄇㄨˋ,zhǔmù,自動詞,7,common,ai,word,,
注定,運命づけられている,ㄓㄨˋ ㄉㄧㄥˋ,zhùdìng,助動詞,7,common,ai,word,,原表記: 注定/註定
注目,注目/注視,ㄓㄨˋ ㄇㄨˋ,zhùmù,自動詞,7,common,ai,word,,
注視,凝視する/注視する,ㄓㄨˋ ㄕˋ,zhùshì,動詞,7,common,ai,word,,
注重,重視する/重んじる,ㄓㄨˋ ㄓㄨㄥˋ,zhùzhòng,状態動詞,7,common,ai,word,,
住宿,宿泊する,ㄓㄨˋ ㄙㄨˋ,zhùsù,自動詞,7,common,ai,word,,
助教,助手/ティーチングアシスタント,ㄓㄨˋ ㄐㄧㄠˋ,zhùjiào,名詞,7,common,ai,word,,
助手,助手/手伝い,ㄓㄨˋ ㄕㄡˇ,zhùshǒu,名詞,7,common,ai,word,,
佇立,立ち尽くす,ㄓㄨˋ ㄌㄧˋ,zhùlì,自動詞,7,common,ai,word,,
著作,著作/執筆する,ㄓㄨˋ ㄗㄨㄛˋ,zhùzuò,名詞,7,common,ai,word,,
駐,駐在する/滞在する,ㄓㄨˋ,zhù,動詞,7,common,ai,word,,
抓緊,しっかり握る/急いで行う,ㄓㄨㄚ ㄐㄧㄣˇ,zhuājǐn,動詞,7,common,ai,word,,
專櫃,専門売り場/専売カウンター,ㄓㄨㄢ ㄍㄨㄟˋ,zhuānguì,名詞,7,common,ai,word,,
專員,専門委員/特派員,ㄓㄨㄢ ㄩㄢˊ,zhuānyuán,名詞,7,common,ai,word,,
專制,専制的な/独裁的な,ㄓㄨㄢ ㄓˋ,zhuānzhì,状態動詞(形容詞),7,common,ai,word,,
磚,レンガ,ㄓㄨㄢ,zhuān,名詞,7,common,ai,word,,
轉動,回転させる/回す,ㄓㄨㄢˇ ㄉㄨㄥˋ,zhuǎndòng,動詞,7,common,ai,word,,
轉化,転換する/変化させる,ㄓㄨㄢˇ ㄏㄨㄚˋ,zhuǎnhuà,変化動詞,7,common,ai,word,,
轉手,転売する/仲介する,ㄓㄨㄢˇ ㄕㄡˇ,zhuǎnshǒu,動詞,7,common,ai,word,,
轉眼,瞬く間に/一瞬,ㄓㄨㄢˇ ㄧㄢˇ,zhuǎnyǎn,副詞,7,common,ai,word,,
轉移,移転する/転移する,ㄓㄨㄢˇ ㄧˊ,zhuǎnyí,動詞,7,common,ai,word,,
轉帳,振り込む/送金する,ㄓㄨㄢˇ ㄓㄤˋ,zhuǎnzhàng,離合動詞,7,common,ai,word,,
撰寫,執筆する/作成する,ㄓㄨㄢˋ ㄒㄧㄝˇ,zhuànxiě,動詞,7,common,ai,word,,
莊嚴,厳粛な/荘厳な,ㄓㄨㄤ ㄧㄢˊ,zhuāngyán,状態動詞(形容詞),7,common,ai,word,,
裝備,装備/装備する,ㄓㄨㄤ ㄅㄟˋ,zhuāngbèi,名詞,7,common,ai,word,,
裝潢,装飾する/内装する,ㄓㄨㄤ ㄏㄨㄤˊ,zhuānghuáng,動詞,7,common,ai,word,,
裝配,組み立てる/装着する,ㄓㄨㄤ ㄆㄟˋ,zhuāngpèi,動詞,7,common,ai,word,,
裝運,積み荷を運ぶ/出荷する,ㄓㄨㄤ ㄩㄣˋ,zhuāngyùn,動詞,7,common,ai,word,,
裝置,装置/設置する,ㄓㄨㄤ ㄓˋ,zhuāngzhì,動詞,7,common,ai,word,,
壯觀,壮観な/見事な,ㄓㄨㄤˋ ㄍㄨㄢ,zhuàngguān,状態動詞(形容詞),7,common,ai,word,,
壯麗,壮麗な/雄大な,ㄓㄨㄤˋ ㄌㄧˋ,zhuànglì,状態動詞(形容詞),7,common,ai,word,,
狀元,首席合格者/状元,ㄓㄨㄤˋ ㄩㄢˊ,zhuàngyuán,名詞,7,common,ai,word,,
追捕,追跡して捕らえる,ㄓㄨㄟ ㄅㄨˇ,zhuībǔ,動詞,7,common,ai,word,,
追查,追及する/調査する,ㄓㄨㄟ ㄔㄚˊ,zhuīchá,動詞,7,common,ai,word,,
追究,責任を追及する,ㄓㄨㄟ ㄐㄧㄡˋ,zhuījiù,動詞,7,common,ai,word,,
準備,準備する / 準備/準備する,ㄓㄨㄣˇ ㄅㄟˋ / ㄓㄨㄣˇ ㄅㄟˋ,zhǔnbèi / zhǔnbèi,名詞,3,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
準則,基準/規範,ㄓㄨㄣˇ ㄗㄜˊ,zhǔnzé,名詞,7,common,ai,word,,
准許,許可する/認める,ㄓㄨㄣˇ ㄒㄩˇ,zhǔnxǔ,動詞,7,common,ai,word,,
卓越,傑出した/優れた,ㄓㄨㄛˊ ㄩㄝˋ,zhuóyuè,状態動詞(形容詞),7,common,ai,word,,
著手,着手する/取りかかる,ㄓㄨㄛˊ ㄕㄡˇ,zhuóshǒu,自動詞,7,common,ai,word,,
著眼,着目する/注目する,ㄓㄨㄛˊ ㄧㄢˇ,zhuóyǎn,自動詞,7,common,ai,word,,
著重,重視する,ㄓㄨㄛˊ ㄓㄨㄥˋ,zhuózhòng,状態動詞,7,common,ai,word,,
酌量,考慮する/酌量する,ㄓㄨㄛˊ ㄌㄧㄤˊ,zhuóliáng,副詞,7,common,ai,word,,
資深,ベテランの/経験豊富な,ㄗ ㄕㄣ,zīshēn,状態動詞(形容詞),7,common,ai,word,,
資助,資金援助する,ㄗ ㄓㄨˋ,zīzhù,動詞,7,common,ai,word,,
姿勢,姿勢/ポーズ,ㄗ ㄕˋ,zīshì,名詞,7,common,ai,word,,
姿態,態度/身構え,ㄗ ㄊㄞˋ,zītài,名詞,7,common,ai,word,,
滋味,味/趣/感じ,ㄗ ㄨㄟˋ,zīwèi,名詞,7,common,ai,word,,
子彈,弾丸,ㄗˇ ㄉㄢˋ,zǐdàn,名詞,7,common,ai,word,,
子弟,子弟/若者,ㄗˇ ㄉㄧˋ,zǐdì,名詞,7,common,ai,word,,
自,自ら/～から,ㄗˋ,zì,介詞(前置詞),7,common,ai,word,,
自稱,自称する,ㄗˋ ㄔㄥ,zìchēng,状態動詞,7,common,ai,word,,
自費,自費の,ㄗˋ ㄈㄟˋ,zìfèi,自動詞,7,common,ai,word,,
自豪,誇らしい,ㄗˋ ㄏㄠˊ,zìháo,状態動詞(形容詞),7,common,ai,word,,
自覺,自覚する/気づく,ㄗˋ ㄐㄩㄝˊ,zìjué,状態動詞,7,common,ai,word,,
自立,自立した,ㄗˋ ㄌㄧˋ,zìlì,状態動詞(形容詞),7,common,ai,word,,
自滿,うぬぼれた/慢心した,ㄗˋ ㄇㄢˇ,zìmǎn,状態動詞(形容詞),7,common,ai,word,,
自身,自身/本人,ㄗˋ ㄕㄣ,zìshēn,名詞,7,common,ai,word,,
自行,自ら行う/自主的な,ㄗˋ ㄒㄧㄥˊ,zìxíng,副詞,7,common,ai,word,,
自制,自制する,ㄗˋ ㄓˋ,zìzhì,自動詞,7,common,ai,word,,
自傳,自伝,ㄗˋ ㄓㄨㄢˋ,zìzhuàn,名詞,7,common,ai,word,,
字體,書体/フォント,ㄗˋ ㄊㄧˇ,zìtǐ,名詞,7,common,ai,word,,
字眼,言葉遣い/言い回し,ㄗˋ ㄧㄢˇ,zìyǎn/zìyǎnr,名詞,7,common,ai,word,,原表記: 字眼/字眼兒
字樣,表記/文言,ㄗˋ ㄧㄤˋ,zìyàng,名詞,7,common,ai,word,,
宗旨,趣旨/目的,ㄗㄨㄥ ㄓˇ,zōngzhǐ,名詞,7,common,ai,word,,
總裁,総裁/社長,ㄗㄨㄥˇ ㄘㄞˊ,zǒngcái,名詞,7,common,ai,word,,
總得,どうしても～しなければならない,ㄗㄨㄥˇ ㄉㄟˇ,zǒngděi,副詞,7,common,ai,word,,
總額,総額,zㄛˇnㄍㄜˊ,zǒngé,名詞,7,common,ai,word,,
總和,合計/総和,ㄗㄨㄥˇ ㄏㄜˊ,zǒnghé,名詞,7,common,ai,word,,
總結,まとめる/総括,ㄗㄨㄥˇ ㄐㄧㄝˊ,zǒngjié,名詞,7,common,ai,word,,
總經理,ゼネラルマネージャー,ㄗㄨㄥˇ ㄐㄧㄥ ㄌㄧˇ,zǒngjīnglǐ,名詞,7,common,ai,word,,
總數,総数,ㄗㄨㄥˇ ㄕㄨˋ,zǒngshù,名詞,7,common,ai,word,,
縱火,放火する,ㄗㄨㄥˋ ㄏㄨㄛˇ,zònghuǒ,離合動詞,7,common,ai,word,,
